"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"FRW00034066","1957-03-01","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-04","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-05","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-06","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-07","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-08","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-11","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-12","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-13","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-14","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-15","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-18","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-19","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-20","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-21","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-22","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-25","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-26","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-27","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-03-29","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-01","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-02","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-03","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-04","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-05","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-08","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-09","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-10","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-11","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-12","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-15","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-16","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-17","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-18","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-19","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-22","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-23","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
"FRW00034066","1957-04-24","47.93333","1.88333","128.0","ORLEANS, FR",,,,,"    0",",,X",,,,,,,,,,,,,,
